Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production,Error
Double Trouble,1992,"28, 35","Two beefed-up twins operating on opposing sides of the law, team up to stop a nefarious crook in this actioner. Peter Jade is a notoriously arrogant burglar who ends up with the key to an enormous underground cache of diamonds. David Jade is a cop who joins forces with Peter after greedy Philip Chamberlain, wanting the diamonds for himself, kills David's partner",en,https://image.tmdb.org/t/p/w500/c9Q0zxjCPBS84y2akpowbnNcnOQ.jpg,4.7,John Paragon,Motion Picture Corporation of America,
Double X: The Name of the Game,1992,"53, 80","Expert safecracker Arthur Clutten masterminds heists for a criminal syndicate he belongs to. But after witnessing the brutal methods of persuasion being meted out by gang leader, Ignatius Smith Clutten decides to quit. But he realizes the gang would sooner see him killed than quitting. After stealing some documents incriminating Smith and his boss, Edward Ross, Clutten then puts his family in hiding and goes on the run...but his daughter has been kidnapped by the gang and a hitman has been hired and is close to finding Clutten.",en,https://image.tmdb.org/t/p/w500/ug8IAno3hOwq1NeZaKltFIR4u5J.jpg,5,Shani Grewal,,
Downtown Pittsburgh,1992,99,"This documentary explores the wonders of downtown Pittsburgh, Pennsylvania. Rick Sebak narrates while you are taken on a nostalgic journey through downtown Pittsburgh's rich history as a bustling American urban center. The film explores downtown Pittsburgh's culture, history, architecture, and secrets. With new and archival footage.",en,https://image.tmdb.org/t/p/w500/jYGXMiSH8SvuZk6htal0tMDfHef.jpg,0,Rick Sebak,WQED,
Dr. Giggles,1992,"27, 35","In 1957, Evan Rendell flees after his father is lynched for killing multiple patients in his effort to find a replacement heart for his ailing wife. After 35 years, Evan escapes from a mental institution and returns to town for revenge, killing off residents one by one. When Jennifer and her friends break into the Rendell house out of morbid curiosity, Evan notices Jennifer has a heart condition similar to his mother and decides to make her his final victim.",en,https://image.tmdb.org/t/p/w500/15TOuWoaJ5C0lLcmRTQz5Lasnd.jpg,5.6,Manny Coto,"Dark Horse Entertainment, Largo Entertainment, JVC, Universal Pictures",
Dream Deceivers: The Story Behind James Vance vs. Judas Priest,1992,99,"A chilling post mortem on the tragic case of two teenagers who decided to shoot themselves in the head with a shotgun, and the ensuing court case staged to place the blame on the heavy metal band Judas Priest.",en,https://image.tmdb.org/t/p/w500/oC8SBHjrjy8hnELADCoUvwbpFUc.jpg,7.9,David Van Taylor,,
Casino Tycoon,1992,"53, 80","Set in World War II, Casino Tycoon chronicles the story of Benny, a young graduate played by Andy Lau, who flees Hong-Kong during the Japanese invasion and heads for gambling haven Macau. Once in Macau, he impresses a local business man who has ties to organised crime, he slowly builds his way up in the ranks of the Macau underworld which ultimately leads to trouble.",cn,https://image.tmdb.org/t/p/w500/qOf4fAI8XxhdvSSPoX3iFqrIOoO.jpg,6.3,Wong Jing,"Cosmopolitan Film Productions Co., Ltd., Samico Films Production Co., Ltd.",
Casino Tycoon II,1992,"53, 9648, 80","It is 20 years on and Ho Hsin is now the proud and powerful owner of a chain of casinos in Macau.  Unfortunately, he is also the target of many enemies, some of whom are in dangerously close proximity to him. But Ho has faced adversity before and is not about to just roll over and die.",cn,https://image.tmdb.org/t/p/w500/c6kpKEzNDQavQ9xUILgtAZXHI7V.jpg,6.1,Wong Jing,"Cosmopolitan Film Productions Co., Ltd., Samico Films Production Co., Ltd.",
Dust Devil,1992,"27, 9648, 53",A woman on the run from her abusive husband encounters a mysterious hitch-hiker.,en,https://image.tmdb.org/t/p/w500/59pEswv24gaJk1BZ6s7o7NnceVf.jpg,6.4,Richard Stanley,"British Screen Productions, Palace Pictures, Shadow Theatre Films, Miramax, Film4 Productions",
¿Dónde estás amor de mi vida... que no te puedo encontrar?,1992,35,A woman and a man known through a radio program dedicated to unite in their lone pairs listeners.,es,https://image.tmdb.org/t/p/w500/9VNvFGvnY8sVeGSFinyKjvvhUZe.jpg,7.1,Juan José Jusid,"Transmundo Films, Transmundo Home Video",
Eddie King,1992,,"Eddie, an unemployed actor gets in troubles with a group of criminals.",en,https://image.tmdb.org/t/p/w500/toc4o7p0qE5hcxTuuzaOSsShiu2.jpg,0,Gidi Dar,,
Eight Ball,1992,18,An architect and a prisoner work on the same construction project.,en,https://image.tmdb.org/t/p/w500/fRcTNZmjqd7SajAqC3SZzZpq7G3.jpg,0,Ray Argall,,
Electric Moon,1992,,"Set in an expensive tourist lodge in the forests of central India run by former royalty, Raja Ran Bikram Singh, 'Bubbles', the film is a satirical parody on Westerners visiting India, in search for their stereotypical notions of the country, replete with images of former Indian royalty, and relics of the British Raj. In turn the film was a commentary on social pretense and ecology.",en,N/A,0,Pradip Krishen,Kaleidoscope Entertainment,
Elenya,1992,,"In Wales during World War Two, a German airman crash-lands in a wood and is found by 12-year-old Elenya. She decides to keep him a secret.",en,https://image.tmdb.org/t/p/w500/gxx1w5ogGEgyoEXIx6c1nfpovyv.jpg,0,Steve Gough,,
Wuthering Heights,1992,"18, 10749","Young orphan Heathcliff is adopted by the wealthy Earnshaw family and moves into their estate, Wuthering Heights. Soon, the new resident falls for his compassionate foster sister, Cathy. The two share a remarkable bond that seems unbreakable until Cathy, feeling the pressure of social convention, suppresses her feelings and marries Edgar Linton, a man of means who befits her stature. Heathcliff vows to win her back.",en,https://image.tmdb.org/t/p/w500/fYjS2FFChGZGhJI15sY78m0V9mu.jpg,6.6,Peter Kosminsky,Paramount Pictures,
Encino Man,1992,35,"High school misfits Stoney and Dave discover a long-frozen primeval man buried in their backyard. But the thawed-out Link—as the boys have named him—quickly becomes a wild card in the teens' already zany Southern California lives. After a shave and some new clothes, Link's presence at school makes the daily drudgery a lot more interesting.",en,https://image.tmdb.org/t/p/w500/y8HtL6pyjfODdHOFgciFVFmt8Eq.jpg,5.795,Les Mayfield,"Hollywood Pictures, Touchwood Pacific Partners 1",
Shipwrecked Children,1992,12,"Eight children of a wrecker live together on a strange island, in a supernatural happiness. Until their little paradise is disturbed when an old lady is discovered murdered there. They then embark on the investigation in search of the truth.",fr,https://image.tmdb.org/t/p/w500/5YHAGAJ3yq1b1pT4M5KMPahzYhK.jpg,3.7,Jérôme Foulon,,
Ein Engel für Felix,1992,10751,,de,N/A,0,Marijan David Vajda,,
Die Engerln am Strick,1992,,"A black comedy from Styria on the subjects of hanging, heavenly music and strange burial costumes.",de,N/A,0,Franz Leopold Schmelzer,"Hochschule für Musik und darstellende Kunst, Wien",
The Enquirers,1992,,An independent film directed by and starring Rick Barnes.,en,https://image.tmdb.org/t/p/w500/2EwDXQCulA7DhEUCdbexXdcYSg2.jpg,0,Rick Barnes,,
Equinox,1992,"18, 80, 9648, 53","Estranged twins Henry and Freddy navigate their drastically different lives— one a troubled bookworm, the other a hardened criminal. As a young writer uncovers their royal lineage and inheritance, the brothers’ fate intertwines in unexpected ways.",en,https://image.tmdb.org/t/p/w500/lVmZkiDbTJ1GUYMxUDqdkrAQkFp.jpg,5.6,Alan Rudolph,"RainCity Productions, SC Entertainment International",
Der Erdnußmann,1992,18,,de,N/A,0,Dietmar Klein,,
Erotic Liaisons,1992,"9648, 80, 18","A low-key private detective agency in Paris is run by Rie and her lover and partner Kishin, two ex-pats who tick along between cases by giving guided tours of the city to busloads of Japanese tourists. After the wealthy Okuyama hires them to trail his French mistress Lorraine whom he believes to be having an affair, feeble-willed Kishin finds himself seduced by this femme fatale and way out of his depth in a seamy underworld of rich Japanese businessmen, S&M games and huge piles of money.",ja,https://image.tmdb.org/t/p/w500/AmvRTYDxthddsfjbLWKXVfK0mMq.jpg,4.5,Kōji Wakamatsu,KSS,
Es war einmal,1992,18,"There has been a serious nuclear accident. Vera takes the necessary measures to protect her seven-year-old daughter against radioactive contamination. As her inner despair increases, Vera continues trying to fulfil her role as a mother.",de,N/A,0,Sabine Derflinger,,
A Passing Season,1992,"18, 10749","As he does at the end of every summer, Antonio climbs onto his roof to sweep out his chimney. From this vantage point, he sees that repairs have begun on one of the neighbouring houses - the one formerly inhabited by the ""Nazi"" (a guy's name), which after ten years of abandonment is known to the whole neighbourhood as the ""mystery house"". With the arrival of fall, Antonio will uncover love, deception, and death, by watching through his window.",es,https://image.tmdb.org/t/p/w500/zAMTubA8oGOUOmkRqGVhE3HmFWo.jpg,5,Gracia Querejeta,,
Europa Camping,1992,35,"A pretty mixed society get together in a camping area. They enjoy their vacation and do not know that two of the vacationists are demolition experts, who are looking for a huge bomb which may explode in any minute. Written by Tamas Patrovics",hu,https://image.tmdb.org/t/p/w500/47LpyJuTO0v7cvXLLJGlLBwpTsk.jpg,0,Mária Dobos,"Balázs Béla Stúdió, Hunnia Filmstúdió",
Them,1992,"18, 80","The life story of a young man in modern Georgia, covering the “stagnant years”, prison, criminal activity after release, suicide.",ka,https://image.tmdb.org/t/p/w500/8FCdgnaZjBtLqoNFGhlHlaDOMod.jpg,1,Levan Zakareishvili,"Georgianfilm, Georgi",
Even Hitler Had a Girlfriend,1991,35,"A lonely Omaha, Nebraska security guard named Marcus dreams of establishing some human connection, when he isn't watching cable porn in his apartment and obsessing over his weight.",en,https://image.tmdb.org/t/p/w500/fVthNhsmeSA3Sj1cfi5QulfslOU.jpg,4.2,Ronnie Cramer,Scorched Earth Productions,
Eyes of the Beholder,1992,"9648, 27, 53",A crazed escaped mental patient holds 2 couples hostage and terrorizes them in a Malibu beach home during a stormy night.,en,https://image.tmdb.org/t/p/w500/xIM2uzGFIERGcPVrm3Vr2TKX1MH.jpg,6.2,Lawrence L. Simeone,Vision International,
An American Citizen,1992,"18, 35","An Israeli sports journalist befriends an American basketball pro playing in Israel. Although from very different backgrounds, their love for the game deepens their friendship. Each learns to value the other's culture.",he,https://image.tmdb.org/t/p/w500/tblB82Y6JQq9ljajU3ESXfGhqQo.jpg,6.5,Eitan Green,Guy Film Productions,
Face of Our Fear,1991,,"‘… Face Of Our Fear is a richly conceived essay about the evolving image of disability. Dwoskin, a highly accomplished experimental filmmaker, begins with the declaration that the historically distorted images of people with disabilities constitute a “negation of selfhood”. He then traces this concerted effort through two thousand years of Western culture, beginning with the Greek notion of the idealized body and its opposite, the fabulous races. Using contemporary films clips, literary quotations, performance, and pictorial records, Face Of Our Fear looks at the Court’s infatuation with “monsters” during the Middle Ages, the “charity cripples” of the Enlightenment, the freakshows of the nineteenth century, each a resort to oppressive stigmatization.’- Steve Seid",en,https://image.tmdb.org/t/p/w500/1st1NDiOSoYbAqU7k1GlpDL0pwV.jpg,0,Stephen Dwoskin,,
The Fall of Otrar,1991,"10752, 18, 36","A staggering historical epic about the intrigue and turmoil of the East Asian civilization of Otrar, before its systematic destruction at the hands of Genghis Khan.",kk,https://image.tmdb.org/t/p/w500/ngnq82CquAhXNLQxgc9lbCJSY46.jpg,6,Ardak Amirkulov,"ArdFilm, Alem, Kazakhfilm",
Falling from Grace,1992,"18, 10749","Rock singer John Mellencamp makes his screen and directorial debut in this story by ""Lonesome Dove"" author, Larry McMurtry. The story, not too separated from Mellencamp's real life, finds him as a country music star whose meanderings and philandering has thrown his life into turmoil. Returning to his native Indiana to try to reestablish a normal life. Instead he takes up with an old lover (Lenz), ignoring his loving wife (Hemingway), and duplicating the lifestyle of his womanizing father (Akins).",en,https://image.tmdb.org/t/p/w500/vO1vfDIIWbCB9IPVN1yBi4Axpry.jpg,4.7,John Mellencamp,Columbia Pictures,
Come Fly the Dragon,1993,"35, 28",A young undercover cop woos the innocent sister of a Triad big brother in order to bring him down.,cn,https://image.tmdb.org/t/p/w500/1dYmdHp82xvgf25W05pPltYsTsZ.jpg,0,Eric Tsang-Chi Wai,"We Sell Ideas Company Limited, Scholar Films Co., Ltd., Miu Haan Chong Yi Yau Haan Gung Shut, Artistic Film Production Co., Ltd., Newport Entertainment Co., Ltd (Hong Kong), Mandarin Recording Studio Ltd.",
Far and Away,1992,"12, 18, 10749, 37","A young couple escapes Ireland, dreaming of a new life during the land giveaway in Oklahoma. As they struggle to survive against betrayal and harsh winter conditions, they must fend off her parents who are determined to bring her back home.",en,https://image.tmdb.org/t/p/w500/rbxvGXcD7fixrAsbiAYl9R76uDs.jpg,6.8,Ron Howard,"Imagine Entertainment, Universal Pictures",
Far from Berlin,1993,,"East Berliner Dieter was working at a very low-level factory job when East and West Germany were unified. He has a very ill child to take care of who requires expensive and special treatments that are not covered by the state medical system. When he loses his job in the inevitable downsizing, he is approached by a sinister rich man to perform various off-the-books services for him, including spying on the rich man's wife. Reluctantly, he accepts the role of ""friend"" to this untrustworthy fellow. His child is becoming steadily worse, so when the requests of his ""friend"" include violent and unlawful actions, he does not feel able to refuse him outright.",en,https://image.tmdb.org/t/p/w500/oT2tbddDEb6kS3tmLXsWvls72id.jpg,0,Keith McNally,,
